type,count
"QuestConditionList_C",7
"TowerWeakStatusIcon_C",7
"TalkText_Balloon_C",7
"InfoBtn_C",7
"EquipCharaStatusMenu_QPS02_C",7
"StoryBookEventList_C",7
"ManuscriptTopGrowthPanel_C",7
"GachaBanner_C",7
"AwakeningRankIcon_S_C",7
"AutoDungeonTotalPointList_C",7
"AmuletSettingArrow_C",7
"UpperLimitBtn_C",7
"CommonWeponEquipListItem_C",7
"FavoriteBtnS_C",7
"WeakStatusIcon_C",7
"MainMenuBtn02_C",7
"CircleTopBtn01_C",7
"EquipPresetSettingList_C",7
"ClanIconComplete_C",7
"HardEnemyList_C",7
"PartyStatusMenuButton_C",7
"DiceOperationWaitItemListPanel_C",7
"DiceClearBonusOddsPanel_C",7
"BPI_Obj_SeaFlag_B_C",7
"ParticleModuleLocationWorldOffset_Seeded",7
"BPI_Obj_Torch_D_Cave_EnvSound_Blizzerd_C",6
"BPI_Obj_Com_Deck_Pillar_AY_S_14_C",6
"BPi_Mansion_D_Wall_400_2F_C",6
"DrawSphereComponent",6
"BPi_Mansion_D_Wall_200_2F_Room_C",6
"BP_City_B_Outdoor_BuildingSet_A_C",6
"BP_Sea_A_Indoor_Window_A_Open_C",6
"BPI_Obj_Bernstein_Torch_A_L_C",6
"BPI_Obj_Bernstein_Torch_A_R_C",6
"BPI_Obj_Com_KitchenSet_Empty_C_C",6
"BPi_LightStudio_Wld_B_C",6
"BPi_LightStudio_Isd_A_C",6
"BPI_Obj_Seed_Switch_A_On_C",6
"BPI_Obj_HellPlant_fuusa_A_C",6
"BPI_Obj_Atsani_Airship_C",6
"RarityStar_C",6
"NonStFCBtn_C",6
"FCItemList_C",6
"FCNpcItemList_C",6
"EditableText",6
"TowerEnemyIcon_C",6
"GachaExchangeButton_C",6
"TowerWeakStatusIconList_C",6
"MainMenuCursor_C",6
"ChoiceButton_C",6
"Balloon_00_C",6
"EquipCharaStatusMenu_C",6
"SimplySkillMasterBtn_C",6
"ClassBoardEnhanceBonusIcon_QPS06_C",6
"BondBookPanel_C",6
"CommonCharaRarelity_C",6
"ReplaceAmuletItemList_C",6
"TreasureIcon_C",6
"CompleteSet_C",6
"EnemyWeakPanel_C",6
"HomeMiniMapIcon_C",6
"CommonWeponListItem_C",6
"CommonNumberPanel01_C",6
"FCPossList_C",6
"FCSupportCostPointParts_C",6
"BattleCommandAttIcon_Star_C",6
"SpinBox",6
"MainPetStaParts_C",6
"FavoriteBtn_C",6
"MainAbilitySkillDot_QPS06_C",6
"CircleAcquisitionItem_C",6
"CircleAchievementSubList_C",6
"SubscriptionBtn_C",6
"SkeletalMesh",6
"Skeleton",6
"BPI_AutoDun_EnvSound_Waterfall_A_C",6
"AttachEffectComponent",5
"BoxComponent",5
"CapsuleComponent",5
"CharacterMovementComponent",5
"KSCharacterAuraPlayTimeSyncComponent",5
"BPi_Flipbook_Grass_B_MB_C",5
"PhysicalMaterial",5
"BP_Chandelier_B_Residence_A_Hell_C",5
